City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,tezu,27.9167,96.1667,24.210000000000036,96,88,1.95,IN,1722535771
145,qashyr,53.0675,76.1036,23.510000000000048,58,100,1.58,KZ,1722535772
146,ribeira grande,38.5167,-28.7,27.220000000000027,74,40,4.63,PT,1722535773
147,papatowai,-46.5619,169.4708,5.3700000000000045,90,97,0.92,NZ,1722535774
148,panyam,9.4167,9.2167,20.03000000000003,93,100,1.74,NG,1722535775
149,broken hill,-31.95,141.4333,7.510000000000048,51,11,4.66,AU,1722535776
150,benguela,-12.5763,13.4055,20.420000000000016,82,59,1.64,AO,1722535777
151,sinop,41.7711,34.8709,18.24000000000001,87,0,1.46,TR,1722535779
152,talnakh,69.4865,88.3972,19.0,51,93,1.66,RU,1722535780
153,hadibu,12.65,54.0333,25.79000000000002,80,90,9.68,YE,1722535782
154,ancud,-41.8697,-73.8203,9.129999999999995,92,100,9.42,CL,1722535659
155,preobrazheniye,42.9019,133.9064,21.879999999999995,99,38,1.96,RU,1722535785
156,casino,-28.8667,153.05,6.430000000000007,90,2,1.87,AU,1722535788
157,mo i rana,66.3128,14.1428,15.260000000000048,77,75,3.13,NO,1722535789
158,calama,-22.4667,-68.9333,23.27000000000004,9,0,10.8,CL,1722535659
159,san patricio,28.017,-97.5169,33.98000000000002,50,7,5.76,US,1722535792
160,turaif,31.6725,38.6637,32.14000000000004,12,0,4.12,SA,1722535794
161,qaqortoq,60.7167,-46.0333,7.510000000000048,73,25,4.09,GL,1722535795
162,nishinoomote,30.7333,131.0,28.629999999999995,86,4,7.0,JP,1722535796
163,khanty-mansiysk,61.0042,69.0019,19.060000000000002,100,40,3.0,RU,1722535797
164,bel ombre,-4.6167,55.4167,25.600000000000023,88,58,7.36,SC,1722535798
165,askiz,53.1319,90.5264,17.980000000000018,80,62,0.67,RU,1722535801
166,minas de marcona,-15.2119,-75.1103,19.650000000000034,50,8,2.63,PE,1722535804
167,shimokizukuri,40.8061,140.3861,21.640000000000043,98,16,1.2,JP,1722535805
168,kodinsk,58.6881,99.1844,10.460000000000036,91,70,1.01,RU,1722535806
169,wuxi,31.5689,120.2886,31.25,72,58,1.02,CN,1722535808
170,tadine,-21.55,167.8833,18.33000000000004,78,100,4.54,NC,1722535809
171,levokumka,44.2317,43.15,25.140000000000043,41,74,1.0,RU,1722535810
172,whitehorse,60.7161,-135.0538,11.010000000000048,87,100,0.45,CA,1722535811
173,maues,-3.3836,-57.7186,38.80000000000001,19,38,2.41,BR,1722535812
174,puerto aysen,-45.4,-72.7,7.650000000000034,100,100,1.4,CL,1722535813
175,palmares do sul,-30.2578,-50.5097,20.760000000000048,63,4,4.9,BR,1722535815
176,afaahiti,-17.75,-149.2833,19.930000000000007,59,48,6.07,PF,1722535816
177,mar del plata,-38.0023,-57.5575,19.180000000000007,77,0,3.6,AR,1722535428
178,wahpeton,46.2652,-96.6059,27.400000000000034,74,0,5.14,US,1722535818
179,fuglafjordur,62.244,-6.814,12.260000000000048,97,100,8.13,FO,1722535819
180,frankfort,-27.2667,28.4833,13.890000000000043,48,64,3.0,ZA,1722535757
181,portage la prairie,49.9728,-98.2926,30.620000000000005,43,0,5.01,CA,1722535628
182,i-n-salah,27.1935,2.4607,39.610000000000014,7,0,9.02,DZ,1722535822
183,andalgala,-27.5819,-66.3165,28.970000000000027,10,100,3.48,AR,1722535823
184,palmer,42.1584,-72.3287,33.02000000000004,55,75,4.63,US,1722535825
185,harper,4.375,-7.7169,23.79000000000002,86,100,5.64,LR,1722535619
186,enewetak,11.3474,162.3373,28.230000000000018,77,76,4.3,MH,1722535827
187,ulundi,-28.3352,31.4162,14.78000000000003,70,0,1.28,ZA,1722535828
188,kill devil hills,36.0307,-75.676,34.0,59,0,1.54,US,1722535829
189,tweed heads,-28.1817,153.547,13.020000000000039,59,0,4.12,AU,1722535830
190,neelankarai,12.9455,80.2575,31.170000000000016,75,75,5.14,IN,1722535832
191,newman,37.3138,-121.0208,33.460000000000036,19,76,1.93,US,1722535833
192,kalnibolotskaya,46.0058,40.4568,23.150000000000034,34,29,3.84,RU,1722535834
193,lihue,21.9789,-159.3672,25.77000000000004,69,20,5.14,US,1722535835
194,katima mulilo,-17.5,24.2667,20.07000000000005,21,2,1.92,NA,1722535836
195,la'ie,21.6477,-157.9253,26.980000000000018,78,91,2.68,US,1722535837
196,dryden,49.7833,-92.7503,27.80000000000001,32,9,3.78,CA,1722535838
197,hukumati azrah,34.1736,69.6457,15.850000000000023,84,23,0.6,AF,1722535839
198,amlapura,-8.45,115.6167,23.08000000000004,91,39,1.22,ID,1722535840
199,hasaki,35.7333,140.8333,24.220000000000027,89,22,3.56,JP,1722535841
200,beatrice,40.2681,-96.747,30.05000000000001,51,0,4.12,US,1722535842
201,novodvinsk,64.4165,40.8122,16.860000000000014,93,89,2.21,RU,1722535844
202,happy valley-goose bay,53.3168,-60.3315,20.170000000000016,94,75,4.63,CA,1722535845
203,haiku-pauwela,20.9219,-156.3051,24.590000000000032,73,20,5.66,US,1722535846
204,nyurba,63.2842,118.3319,6.6200000000000045,80,5,1.2,RU,1722535847
205,mareeba,-17.0,145.4333,16.400000000000034,88,48,1.0,AU,1722535849
206,fale old settlement,-9.3852,-171.2468,27.470000000000027,70,100,7.79,TK,1722535850
207,klaksvik,62.2266,-6.589,12.510000000000048,98,100,10.19,FO,1722535851
208,al bardiyah,31.7561,25.0865,26.560000000000002,59,0,6.68,LY,1722535853
209,sulphur,30.2366,-93.3774,35.0,64,75,0.0,US,1722535700
210,remire-montjoly,4.9167,-52.2667,28.02000000000004,83,75,4.12,GF,1722535816
211,la plata,-34.9215,-57.9545,23.260000000000048,66,97,3.94,AR,1722535856
212,laguna,38.421,-121.4238,33.860000000000014,41,0,2.57,US,1722535859
213,kapa'a,22.0752,-159.319,26.180000000000007,73,20,5.14,US,1722535860
214,santa elena de uairen,4.6167,-61.1333,25.28000000000003,63,24,4.56,VE,1722535861
215,al hoceima,35.2433,-3.9309,28.129999999999995,50,6,1.47,MA,1722535755
216,villa vasquez,19.7411,-71.4464,30.160000000000025,43,58,10.2,DO,1722535863
217,tazovsky,67.4667,78.7,15.32000000000005,88,93,3.71,RU,1722535865
218,necochea,-38.5473,-58.7368,17.370000000000005,87,100,5.6,AR,1722535726
219,san cristobal,7.7669,-72.225,32.10000000000002,43,42,4.64,VE,1722535867
220,patacamaya,-17.2333,-67.9167,15.660000000000025,15,0,0.51,BO,1722535636
221,sao felix do xingu,-6.6447,-51.995,38.03000000000003,17,25,1.73,BR,1722535869
222,san-pedro,4.7485,-6.6363,23.05000000000001,93,100,4.31,CI,1722535871
223,nicoya,10.1483,-85.452,26.27000000000004,90,99,1.66,CR,1722535872
224,nova sintra,14.8667,-24.7167,25.090000000000032,75,16,6.65,CV,1722535873
225,coyhaique,-45.5752,-72.0662,9.340000000000032,100,100,1.16,CL,1722535875
226,palangkaraya,-2.2,113.8333,24.379999999999995,93,90,1.3,ID,1722535635
227,boa vista,2.8197,-60.6733,31.99000000000001,51,40,3.09,BR,1722535879
228,kavaratti,10.5669,72.642,28.010000000000048,83,100,7.5,IN,1722535880
229,dudinka,69.4058,86.1778,16.5,51,82,3.92,RU,1722535881
230,sola,-13.8833,167.55,25.890000000000043,77,75,10.53,VU,1722535882
231,la rioja,42.25,-2.5,21.879999999999995,52,1,3.01,ES,1722535884
232,eirunepe,-6.6603,-69.8736,37.93000000000001,23,55,0.43,BR,1722535885
233,le port,-20.9373,55.2919,20.0,89,33,3.77,RE,1722535886
234,lazaro cardenas,17.9583,-102.2,29.060000000000002,65,99,0.43,MX,1722535755
235,klyuchi,52.2667,79.1667,23.970000000000027,44,83,2.87,RU,1722535888
236,uzlovaya,53.9818,38.1712,14.110000000000014,91,32,4.17,RU,1722535889
237,tete,-16.1564,33.5867,24.05000000000001,57,20,2.06,MZ,1722535890
238,kotlas,61.2611,46.6556,14.340000000000032,91,26,1.72,RU,1722535891
239,hulan ergi,47.2042,123.6333,19.660000000000025,74,100,5.09,CN,1722535892
240,tolanaro,-25.0319,46.9987,19.04000000000002,72,20,4.12,MG,1722535894
241,lompoc,34.6391,-120.4579,26.08000000000004,68,0,3.09,US,1722535895
242,zarghun shahr,32.8473,68.4457,25.470000000000027,50,69,3.48,AF,1722535896
243,sao joao da barra,-21.6403,-41.0511,25.05000000000001,61,3,5.03,BR,1722535897
244,nerekhta,57.4588,40.5747,14.939999999999998,93,100,2.81,RU,1722535898
245,rio grande,-32.035,-52.0986,23.060000000000002,73,24,7.09,BR,1722535899
246,avarua,-21.2078,-159.775,19.03000000000003,72,100,1.03,CK,1722535900
247,iwanai,42.9744,140.5089,19.79000000000002,97,28,2.85,JP,1722535901
248,pangody,65.85,74.4859,19.170000000000016,60,65,2.29,RU,1722535902
249,magadan,59.5667,150.8,9.800000000000011,90,100,4.91,RU,1722535903
250,song cau,13.45,109.2167,25.430000000000007,86,45,2.17,VN,1722535905
251,nabire,-3.3667,135.4833,24.120000000000005,95,85,1.62,ID,1722535906
252,bedele,8.456,36.353,13.640000000000043,98,99,1.53,ET,1722535634
253,carnarvon,-24.8667,113.6333,16.54000000000002,66,0,6.64,AU,1722535908
254,cheat lake,39.672,-79.8534,32.410000000000025,65,75,3.6,US,1722535909
255,puerto deseado,-47.7503,-65.8938,11.270000000000039,57,51,5.42,AR,1722535910
256,turpan,42.9333,89.1667,35.410000000000025,18,2,0.39,CN,1722535911
257,mejit,10.2753,170.8646,27.840000000000032,78,41,3.26,MH,1722535912
258,suomussalmi,64.8869,28.9078,11.140000000000043,98,99,1.54,FI,1722535913
259,sarangani,5.4033,125.4636,28.470000000000027,76,100,3.23,PH,1722535914
260,hami,42.8,93.45,29.25,30,41,3.81,CN,1722535916
261,banda aceh,5.5577,95.3222,27.439999999999998,76,100,1.93,ID,1722535917
262,turan,16.0678,108.2208,28.99000000000001,74,20,1.54,VN,1722535918
263,latakia,35.5148,35.7768,29.100000000000023,77,0,4.79,SY,1722535919
264,bodo,67.28,14.405,15.020000000000039,79,75,4.12,NO,1722535920
265,ciudad constitucion,25.0369,-111.6644,33.25,26,11,1.43,MX,1722535640
266,acapulco de juarez,16.8634,-99.8901,29.900000000000034,74,75,3.09,MX,1722535747
267,praia da vitoria,38.7333,-27.0667,27.090000000000032,78,40,1.78,PT,1722535923
268,kuusamo,65.9667,29.1833,14.020000000000039,94,100,3.09,FI,1722535924
269,freetown,8.484,-13.2299,24.840000000000032,94,75,8.23,SL,1722535925
270,bagarji,27.756,68.7524,35.43000000000001,56,100,6.08,PK,1722535926
271,smara,26.7384,-11.6719,40.170000000000016,21,9,11.48,EH,1722535928
272,holualoa,19.6228,-155.9522,24.910000000000025,82,75,2.57,US,1722535929
273,crucecita,-28.95,-58.9833,31.620000000000005,32,52,9.26,AR,1722535930
274,nihommatsu,37.5833,140.4333,21.870000000000005,78,68,0.18,JP,1722535754
275,tchintabaraden,15.8969,5.7985,33.24000000000001,41,37,4.93,NE,1722535933
276,matoury,4.8483,-52.3317,27.980000000000018,83,75,4.12,GF,1722535880
